GearRow,Path,Category,Bytes,Lines,SHA256,SemanticMethod,SemanticSynopsis,ReferenceCount,TerminalClasses,ReferenceStatuses,BrokenReferenceCount,SourceEvidence
46,.zenodo.json,configuration_or_data,853,30,AF2E800A43952851AACE57FF7CACFAFA99BB847020F95305ECBFA50C5892FB2E,json_parse,"JSON dict; top-level keys=title,description,creators,license,upload_type,keywords,related_identifiers",0,none,none,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/.zenodo.json#L1-L30
47,AGENTS.md,agent_instruction,30810,603,E740541B2944BA60E081260154B2EB4F2275BDA0B95212CB9FA9EA6E948A9B1C,markdown_structure,Markdown; headings=54; lead=AGENTS.md | About Spec Kit and Specify | Quickstart — Add a New Integration in 5 Steps,7,external_dependency=1;repository_file=6,resolved=6;terminal=1,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/AGENTS.md#L1-L603
48,bundles/catalog.community.json,configuration_or_data,1129,36,B556387CFD62722BA054D9ECD696A7BACD6464F299106391B6ED65F5BFFC246F,json_parse,"JSON dict; top-level keys=schema_version,updated_at,catalog_url,bundles",0,none,none,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/bundles/catalog.community.json#L1-L36
49,CHANGELOG.md,documentation,100827,2526,F3E2D6C9D33C2BDD9236536454FF58CF0B95018D3BC4C5A81C614F299197A070,markdown_structure,Markdown; headings=417; lead=Changelog | [0.15.1] - 2026-07-31 | Changed,0,none,none,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/CHANGELOG.md#L1-L2526
50,CITATION.cff,source_or_other,959,32,3E5C9371857D9FCF241B401717C56FE96D98D724D00D32981D7B6C4427BA4111,text_structure,.cff text; lead=cff-version: 1.2.0,0,none,none,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/CITATION.cff#L1-L32
51,CODE_OF_CONDUCT.md,documentation,3233,75,3B90B6C1B812CB0194BB2A98FF8C13D4353F4430937DCE45D3A25BEF069FE507,markdown_structure,Markdown; headings=7; lead=Contributor Covenant Code of Conduct | Our Pledge | Our Standards,2,external_dependency=2,terminal=2,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/CODE_OF_CONDUCT.md#L1-L75
52,CONTRIBUTING.md,documentation,15113,291,98187B9F054ADD66B0E49E7E52692ED12C06F79B6497269F1C7879ECF92E5CD3,markdown_structure,Markdown; headings=28; lead=Contributing to Spec Kit | Prerequisites for running and testing code | Submitting a pull request,24,external_dependency=13;repository_file=11,resolved=11;terminal=13,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/CONTRIBUTING.md#L1-L291
53,DEVELOPMENT.md,documentation,2492,25,C9F4458B35F38E052AB305B252EF54ACB7A7984B47CE42286192456EF2F62F9B,markdown_structure,Markdown; headings=1; lead=Development Notes,6,repository_file=6,resolved=6,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/DEVELOPMENT.md#L1-L25
54,docs/.gitignore,source_or_other,72,9,1BCAF861E7AD4BE27CAFEC340E1FAB63960519464D133E432C1D7E3798F6F4E5,text_structure,extensionless text; lead=# DocFX build output,0,none,none,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/docs/.gitignore#L1-L9
55,docs/community/bundles.md,documentation,4209,58,0332543BAE3EF3F440763912FFE2413C209A0DE124F1D84507F798BC0E12A6B8,markdown_structure,Markdown; headings=6; lead=Community Bundles | What to Submit | Component Resolution,4,external_dependency=4,terminal=4,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/docs/community/bundles.md#L1-L58
56,docs/community/extensions.md,documentation,36221,174,B2715E051C817101219865CECF2A4DE34C598A10A2BC723AA6CBDA71F567C851,markdown_structure,Markdown; headings=1; lead=Community Extensions,147,external_dependency=147,terminal=147,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/docs/community/extensions.md#L1-L174
57,docs/community/friends.md,documentation,3207,21,882C907698FA9CA1A864876A61DD14F2E513B4341069C2E762F6339B64A1A808,markdown_structure,Markdown; headings=1; lead=Community Friends,8,external_dependency=8,terminal=8,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/docs/community/friends.md#L1-L21
58,docs/community/overview.md,documentation,1427,34,CD078EB0423430EB20645BB68C74B3C85F324E69870AE6E0DB22C5A1C7B7DB40,markdown_structure,Markdown; headings=6; lead=Community | Extensions | Presets,5,repository_file=5,resolved=5,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/docs/community/overview.md#L1-L34
59,docs/community/presets.md,documentation,11075,41,73B76824B9FE65E84E0F6FA2E9319186E7A61058A4DE89B9DB96AA2ACB6B7F25,markdown_structure,Markdown; headings=1; lead=Community Presets,31,external_dependency=31,terminal=31,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/docs/community/presets.md#L1-L41
60,docs/community/walkthroughs.md,documentation,3489,21,BAE7FA63E8251EBCCFCB498D9FADE3A67561716621E4C171DBE0888A0580B9AE,markdown_structure,Markdown; headings=1; lead=Community Walkthroughs,7,external_dependency=7,terminal=7,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/docs/community/walkthroughs.md#L1-L21
61,docs/concepts/complex-features.md,documentation,3363,88,FA0B7411E2E1DC8DD6FEAAD6CC18C75FD21913EB6390E843786BF760BBFCA89F,markdown_structure,Markdown; headings=6; lead=Handling Complex Features | Option 1: Limit How Many Tasks Run Per Invocation | Option 2: Instruct the Agent to Use Sub-Agents,1,repository_file=1,resolved=1,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/docs/concepts/complex-features.md#L1-L88
62,docs/concepts/sdd.md,documentation,2764,53,269CD82AD469BA53D5F9CBDE4C9087DD92793003DF8C5C2F3320C25BCF19A7A8,markdown_structure,Markdown; headings=8; lead=What is Spec-Driven Development? | Core Philosophy | Development Phases,2,repository_file=2,resolved=2,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/docs/concepts/sdd.md#L1-L53
63,docs/concepts/spec-of-specs.md,documentation,8496,172,95B067A664D2D3C92C5F9E8D9668DDE7C8FB59834F7DBA8F51605997A854C5AF,markdown_structure,Markdown; headings=11; lead=Spec of Specs | The roadmap pass | The roadmap artifact,2,external_dependency=1;repository_file=1,resolved=1;terminal=1,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/docs/concepts/spec-of-specs.md#L1-L172
64,docs/concepts/spec-persistence.md,documentation,4638,108,8F532DEFB5AD6019E1E4D839DE8FDB9F70E84A0E6609CF8F7B5E22BCCE0F4CC2,markdown_structure,Markdown; headings=6; lead=Spec Persistence Models | Two Separate Questions | Flow-Back Spec,1,external_dependency=1,terminal=1,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/docs/concepts/spec-persistence.md#L1-L108
65,docs/docfx.json,configuration_or_data,1620,82,52152A3ABCE4695AC4267E336100411679C974F7CB24BDBC954FB58AC885F9DF,json_parse,JSON dict; top-level keys=build,0,none,none,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/docs/docfx.json#L1-L82
66,docs/guides/evolving-specs.md,documentation,4381,93,9799F6E02F19EA7EAC53D2482EC2E25BCAF19C718951D83D16D48306938850FC,markdown_structure,Markdown; headings=5; lead=Evolving Specs in Existing Projects | Flow-Forward Spec | Living Spec,2,repository_file=2,resolved=2,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/docs/guides/evolving-specs.md#L1-L93
67,docs/guides/monorepo.md,documentation,4993,124,EB3F39C296B839B8F7DF1335D737E801798A4D431FFC0A628538CD2600EB8D94,markdown_structure,Markdown; headings=11; lead=Using Spec Kit in a Monorepo | Layout | Working inside a member project,1,repository_file=1,resolved=1,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/docs/guides/monorepo.md#L1-L124
68,docs/index.md,documentation,5894,159,3B1344A0127F396850BCEBB5326B5230FE712D2110EEC409EE4AB857D4F0C183,markdown_structure,Markdown; headings=7; lead=GitHub Spec Kit | Spec-driven by default | Use any coding agent,2,repository_file=2,resolved=2,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/docs/index.md#L1-L159
69,docs/install/air-gapped.md,documentation,2114,60,EF4A8A5B5566EC3978CCE34C05F040088A88AC4798970899A93A42861F413A46,markdown_structure,Markdown; headings=9; lead=Enterprise / Air-Gapped Installation | Step 1: Build the wheel on a connected machine | Clone the repository,0,none,none,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/docs/install/air-gapped.md#L1-L60
70,docs/install/one-time.md,documentation,1374,34,1A128E9FDB0D75BE4BC9B48740C68F3EB3729385F92F71237B52AD5864F3A660,markdown_structure,Markdown; headings=8; lead=One-time Usage (uvx) | Run Specify CLI | Create a new project (latest from main),3,external_dependency=1;repository_file=2,resolved=2;terminal=1,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/docs/install/one-time.md#L1-L34
71,docs/install/pipx.md,documentation,950,39,845F76BB308861871CE4608A7FA9DEA58FE2E4ADBB68D1379C5D4834ECB2E0F2,markdown_structure,Markdown; headings=9; lead=Installing with pipx | Install Specify CLI | Install a specific stable release (recommended — replace vX.Y.Z with the,4,external_dependency=3;repository_file=1,resolved=1;terminal=3,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/docs/install/pipx.md#L1-L39
